NOM,LAT,LNG,WKT
"Platanus hispanica  (X) ´Acerifolia´","41,5442026976894","2,43643634368862","POINT (2.43643634368862 41.5442026976894)"
"Platanus hispanica  (X) ´Acerifolia´","41,5442849391405","2,43653317053395","POINT (2.43653317053395 41.5442849391405)"
"Platanus hispanica  (X) ´Acerifolia´","41,5443658298701","2,43663000934774","POINT (2.43663000934774 41.5443658298701)"
"Platanus hispanica  (X) ´Acerifolia´","41,5444440015356","2,43672327609322","POINT (2.43672327609322 41.5444440015356)"
"Platanus hispanica  (X) ´Acerifolia´","41,5445242343946","2,43682371687812","POINT (2.43682371687812 41.5445242343946)"
"Platanus hispanica  (X) ´Acerifolia´","41,5447274929163","2,4370707646301","POINT (2.4370707646301 41.5447274929163)"
"Platanus hispanica  (X) ´Acerifolia´","41,5448050069114","2,43716769877493","POINT (2.43716769877493 41.5448050069114)"
"Platanus hispanica  (X) ´Acerifolia´","41,5448831785503","2,43726103163832","POINT (2.43726103163832 41.5448831785503)"
"Platanus hispanica  (X) ´Acerifolia´","41,5449593373475","2,43735707903555","POINT (2.43735707903555 41.5449593373475)"
"Platanus hispanica  (X) ´Acerifolia´","41,5450361493084","2,4374486262228","POINT (2.4374486262228 41.5450361493084)"
"Platanus hispanica  (X) ´Acerifolia´","41,5451156977401","2,43754734155793","POINT (2.43754734155793 41.5451156977401)"
"Jacaranda mimosifolia","41,5452439501812","2,43753626885321","POINT (2.43753626885321 41.5452439501812)"
"Celtis australis","41,5452904086096","2,43746941926118","POINT (2.43746941926118 41.5452904086096)"
"Celtis australis","41,5453355030747","2,4373998845198","POINT (2.4373998845198 41.5453355030747)"
"Celtis australis","41,5453833207685","2,4373348208704","POINT (2.4373348208704 41.5453833207685)"
"Celtis australis","41,5454324627621","2,4372643518817","POINT (2.4372643518817 41.5454324627621)"
"Celtis australis","41,5454762284568","2,43719932317106","POINT (2.43719932317106 41.5454762284568)"
"Celtis australis","41,5455267121149","2,43712704429988","POINT (2.43712704429988 41.5455267121149)"
"Celtis australis","41,5455718460618","2,43706559938246","POINT (2.43706559938246 41.5455718460618)"
"Celtis australis","41,5456182601103","2,4369897598713","POINT (2.4369897598713 41.5456182601103)"
"Celtis australis","41,5456700766677","2,43691387338008","POINT (2.43691387338008 41.5456700766677)"
"Celtis australis","41,5457152281059","2,43685602388238","POINT (2.43685602388238 41.5457152281059)"
"Celtis australis","41,5461342002368","2,43661516532914","POINT (2.43661516532914 41.5461342002368)"
"Celtis australis","41,5460107279994","2,4364231089791","POINT (2.4364231089791 41.5460107279994)"
"Celtis australis","41,5459587575272","2,43648933488628","POINT (2.43648933488628 41.5459587575272)"
"Celtis australis","41,5459176715025","2,43657164759821","POINT (2.43657164759821 41.5459176715025)"
"Celtis australis","41,5454976935116","2,4355661153911","POINT (2.4355661153911 41.5454976935116)"
