NOM,ADRECA,CATEGORIA,TIPUS,WKT,LAT,LNG
"Camp Municipal de Futbol de Rocafonda","Ronda de Rafael Estrany, 24. 08304 Mataró (BARCELONA)","Esports","Camps esportius municipals","POINT (2.45034268946787 41.5511311360533)","41,5511311360533","2,45034268946787"
"Mercat del Palau","Carretera de Mata, 18. 08304 Mataró (BARCELONA)","Mercats i Centres comercials","Mercats fixos privats","POINT (2.45047224496162 41.5463897647377)","41,5463897647377","2,45047224496162"
"M1TV - Televisió de Mataró","Carrer de Tordera, 37. 08302 Mataró (BARCELONA)","Cultura i Oci","Mitjans audiovisuals","POINT (2.43456883449354 41.5271565816022)","41,5271565816022","2,43456883449354"
"Aparcament lliure - Carrer del Molí de Vent","","Mobilitat","Aparcament lliure","POINT (2.42927667756869 41.54221429255)","41,54221429255","2,42927667756869"
"Aparcament lliure - Parc de Rocafonda","","Mobilitat","Aparcament lliure","POINT (2.45056606555841 41.5524428768122)","41,5524428768122","2,45056606555841"
"Camp municipal de futbol A7 de Cirera Francisco Melero Navarro","Plaça del Voluntariat, 1. 08304 Mataró (BARCELONA)","Esports","Camps esportius municipals","POINT (2.43770041342946 41.5472978594663)","41,5472978594663","2,43770041342946"
"Centre Geriàtric Cerdanyola","Avinguda de Josep Puig i Cadafalch, 210. 08303 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.42508309593626 41.5404569097324)","41,5404569097324","2,42508309593626"
"Grup ENHER - Servei d'atenció al públic","Carretera de Mata, 89. 08304 Mataró (BARCELONA)","Companyies de subministrament","Llum","POINT (2.45317983654373 41.5494821263055)","41,5494821263055","2,45317983654373"
"Can Palauet. Sales d'exposicions","Carrer d'En Palau, 32. 08301 Mataró (BARCELONA)","Cultura i Oci","Sales d'exposicions i galeries d'art","POINT (2.44607047092414 41.5400209606581)","41,5400209606581","2,44607047092414"
"Parafarmàcia - Farmafree I","Carrer de Barcelona, 27. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.44596315135357 41.5386917533167)","41,5386917533167","2,44596315135357"
"Parafarmàcia - Farmafree II","Carrer d'Estrasburg, 5. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.43444460137446 41.5543028548735)","41,5543028548735","2,43444460137446"
"Nau Gaudí","Carrer de la Cooperativa, 47. 08302 Mataró (BARCELONA)","Cultura i Oci","Sales d'exposicions i galeries d'art","POINT (2.44248579002049 41.5339140900969)","41,5339140900969","2,44248579002049"
"Hotel URH Mataró","Camí Ral, 648. 08302 Mataró (BARCELONA)","Allotjament","Hotels","POINT (2.43700400405009 41.5315447048103)","41,5315447048103","2,43700400405009"
"Biblioteca Pública Antoni Comas","Carrer d'Enric Prat de la Riba, 110. 08301 Mataró (BARCELONA)","Cultura i Oci","Biblioteques","POINT (2.45304406969035 41.5449951118624)","41,5449951118624","2,45304406969035"
"Camp Municipal de Futbol Camí del Mig","Carrer de la Marató, 91. 08303 Mataró (BARCELONA)","Esports","Camps esportius municipals","POINT (2.42458236421121 41.535473703664)","41,535473703664","2,42458236421121"
"Agència Estatal d'Administració Tributària de Mataró","Carretera de Barcelona, 43. 08302 Mataró (BARCELONA)","Administració de l'Estat","Agència Tributària","POINT (2.43275491957092 41.5273737884116)","41,5273737884116","2,43275491957092"
"Centre Residencial d'Acció Educativa Pere Quart","Carrer d'Antoni de Capmany, 52. 08301 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.4528566774944 41.5423198212156)","41,5423198212156","2,4528566774944"
"CAP Ronda Joan Prim - ICS","Ronda de Joan Prim, 35. 08302 Mataró (BARCELONA)","Serveis sanitaris","Centres d'Atenció Primària (CAP)","POINT (2.43588676606596 41.5386732249864)","41,5386732249864","2,43588676606596"
"Centre Residencial d'Acció Educativa Mataró","Carrer de Javier Castaños, 122. 08302 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.43620264862863 41.5327526593401)","41,5327526593401","2,43620264862863"
"Camp Municipal de Futbol Enric Pujol","Carrer de la Marató, 91. 08303 Mataró (BARCELONA)","Esports","Camps esportius municipals","POINT (2.42458236421121 41.535473703664)","41,535473703664","2,42458236421121"
"Pista Poliesportiva del Velòdrom Municipal","Avinguda del Velòdrom, 27. 08304 Mataró (BARCELONA)","Esports","Pistes i Poliesportius","POINT (2.44022259027142 41.5466802756711)","41,5466802756711","2,44022259027142"
"Mercat de Cerdanyola","Carrer d'Atenes, 11. 08303 Mataró (BARCELONA)","Mercats i Centres comercials","Mercats fixos privats","POINT (2.42351484419331 41.5358328642848)","41,5358328642848","2,42351484419331"
"El Mirador","Carrer del Capcir, 90. 08304 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.46559633152572 41.5531939809243)","41,5531939809243","2,46559633152572"
"Residència Geriàtrica Laia","Carrer de Miquel Biada, 45. 08302 Mataró (BARCELONA)","Serveis socials","Centres residencials per a gent gran","POINT (2.43715182829026 41.5377725881664)","41,5377725881664","2,43715182829026"
"Centre de Formació d'Adults Alarona","Plaça de la Torre del Cogoll, 1. 08302 Mataró (BARCELONA)","Educació","Centres de Formació d'Adults","POINT (2.43386990307877 41.532168936599)","41,532168936599","2,43386990307877"
"Unitat de suport Serveis Territorials","Carrer de Pablo Iglesias, 63. 08302 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Territorials i Sostenibilitat","POINT (2.43237131091188 41.5314108109707)","41,5314108109707","2,43237131091188"
"Unitat de suport Alcaldia","La Riera, 48. 08301 Mataró (BARCELONA)","Administració municipal","Alcaldia","POINT (2.44477763596592 41.5398389598186)","41,5398389598186","2,44477763596592"
"Centre de Formació d'Adults Can Marfà","Plaça dels Bous, 5. 08301 Mataró (BARCELONA)","Educació","Centres de Formació d'Adults","POINT (2.44459364300271 41.5421916817148)","41,5421916817148","2,44459364300271"
"Centre de Formació d'Adults Can Noè","Carrer de Josep Punsola, 47. 08304 Mataró (BARCELONA)","Educació","Centres de Formació d'Adults","POINT (2.45093178809748 41.5489521736571)","41,5489521736571","2,45093178809748"
"Centre de Formació d'Adults Tarongers","Carrer de la Mare de Déu de La Cisa, 80. 08303 Mataró (BARCELONA)","Educació","Centres de Formació d'Adults","POINT (2.42471968698924 41.5362232334007)","41,5362232334007","2,42471968698924"
