CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700926970424107130","REHABILITACIÓ DE CONSTRUCCIONS","13/11/2018","13/11/2018","1","41.5378964872393","2.44816402004505","POINT (2.44816402004505 41.5378964872393)"
"5120700927077074607130","ESDEVENIMENTS ESPORTIUS ORGANITZATS PER TERCERS","30/12/2018","30/12/2018","1","41.5329359980609","2.43989188880676","POINT (2.43989188880676 41.5329359980609)"
"5120700927082099607130","RASES I CATES","02/12/2018","02/12/2018","1","41.537826563245","2.44218623925643","POINT (2.44218623925643 41.537826563245)"
"5120700927083565607130","ACTES DIVERSOS AL CARRER","01/12/2018","16/12/2018","16","41.5388044442295","2.44485318259046","POINT (2.44485318259046 41.5388044442295)"
"5120700927084129607130","ACTES DIVERSOS AL CARRER","15/12/2018","15/12/2018","1","41.5390097523858","2.44484157186963","POINT (2.44484157186963 41.5390097523858)"
"5120700927094489607130","SAC DE RUNA","26/11/2018","30/11/2018","5","41.5406993513865","2.4217253115912","POINT (2.4217253115912 41.5406993513865)"
"5120700927109193107130","OBRES","21/11/2018","21/12/2018","31","41.5348644456179","2.4413021692984","POINT (2.4413021692984 41.5348644456179)"
"5120700927147003107130","URBANITZACIÓ DE VIES EXISTENTS","20/11/2018","01/01/2019","43","41.545467853451","2.45030773479941","POINT (2.45030773479941 41.545467853451)"
"5120700926156078107130","ACTES CULTURALS","22/09/2018","22/09/2018","1","41.5449156486915","2.44969803740679","POINT (2.44969803740679 41.5449156486915)"
"5120700926156074607130","ACTES DIVERSOS AL CARRER","06/10/2018","06/10/2018","1","41.5416517786366","2.44675541832193","POINT (2.44675541832193 41.5416517786366)"
"5120700926156963607130","CONTENIDOR DE RUNA","17/09/2018","28/09/2018","12","41.5419616151855","2.45298773103291","POINT (2.45298773103291 41.5419616151855)"
"5120700926545030107130","BASTIDES I TANQUES","08/10/2018","08/11/2018","32","41.5467813689341","2.42850899098556","POINT (2.42850899098556 41.5467813689341)"
"5120700926544949607130","OBRES","16/10/2018","16/10/2018","1","41.5407994164405","2.44141949846454","POINT (2.44141949846454 41.5407994164405)"
"5120700926545105107130","SAC DE RUNA","15/10/2018","19/10/2018","5","41.5354509734441","2.42396182359706","POINT (2.42396182359706 41.5354509734441)"
"5120700919886092107130","MUDANÇA","26/01/2018","26/01/2018","1","41.5423820879933","2.45280710835637","POINT (2.45280710835637 41.5423820879933)"
"5120700920246468607130","RESERVES D' ESTACIONAMENT","16/02/2018","16/02/2018","1","41.5269083182634","2.43084027935843","POINT (2.43084027935843 41.5269083182634)"
"5120700920440065107130","RASES I CATES","19/02/2018","21/02/2018","3","41.5460819362207","2.45408616343807","POINT (2.45408616343807 41.5460819362207)"
"5120700920575449607130","CONTENIDOR DE RUNA","26/02/2018","27/02/2018","2","41.5486874791572","2.4425575195882","POINT (2.4425575195882 41.5486874791572)"
"5120700920623446607130","MUDANÇA","27/02/2018","27/02/2018","1","41.5393725959049","2.45357673687404","POINT (2.45357673687404 41.5393725959049)"
"5120700920850396107130","SAC DE RUNA","06/03/2018","20/04/2018","46","41.5365614902897","2.4345395362117","POINT (2.4345395362117 41.5365614902897)"
"5120700920955520607130","MUDANÇA","09/03/2018","09/03/2018","1","41.5375873582792","2.42794831865643","POINT (2.42794831865643 41.5375873582792)"
"5120700921974833607130","RESERVES D' ESTACIONAMENT","27/06/2018","27/06/2018","1","41.54091629883","2.43384547696854","POINT (2.43384547696854 41.54091629883)"
