ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","FONS","Fons","41,5369297531804","2,4521855149687","POINT (2.4521855149687 41.5369297531804)"
"Usos Sòl","INT","Interior","41,5637270194459","2,42622637448072","POINT (2.42622637448072 41.5637270194459)"
"Usos Sòl","ZV","Zona Verda","41,5623073579872","2,42859848437126","POINT (2.42859848437126 41.5623073579872)"
"Usos Sòl","ZV","Zona Verda","41,5638166790302","2,42584239848344","POINT (2.42584239848344 41.5638166790302)"
"Usos Sòl","ZV","Zona Verda","41,5450240719849","2,42491883264688","POINT (2.42491883264688 41.5450240719849)"
"Usos Sòl","ZV","Zona Verda","41,5447100783893","2,42638338604583","POINT (2.42638338604583 41.5447100783893)"
"Usos Sòl","ZV","Zona Verda","41,5441999064652","2,42767190012478","POINT (2.42767190012478 41.5441999064652)"
"Usos Sòl","ZV","Zona Verda","41,5438872717634","2,42840015236268","POINT (2.42840015236268 41.5438872717634)"
"Usos Sòl","INT","Interior","41,5617486949785","2,42800054976975","POINT (2.42800054976975 41.5617486949785)"
"Usos Sòl","ZV","Zona Verda","41,5555281937467","2,43026546907871","POINT (2.43026546907871 41.5555281937467)"
"Usos Sòl","INT","Interior","41,557679459665","2,42753397930515","POINT (2.42753397930515 41.557679459665)"
"Usos Sòl","FONS","Fons","41,5647755426096","2,4265167995521","POINT (2.4265167995521 41.5647755426096)"
"Usos Sòl","FONS","Fons","41,5640952516134","2,42917293810504","POINT (2.42917293810504 41.5640952516134)"
"Usos Sòl","INT","Interior","41,5642076798382","2,42529758359301","POINT (2.42529758359301 41.5642076798382)"
"Usos Sòl","TR","Transit Reduït","41,5358327863352","2,44623707462033","POINT (2.44623707462033 41.5358327863352)"
"Usos Sòl","TR","Transit Reduït","41,5421682054731","2,44453857786848","POINT (2.44453857786848 41.5421682054731)"
"Usos Sòl","FONS","Fons","41,5566593700767","2,4548488361071","POINT (2.4548488361071 41.5566593700767)"
"Usos Sòl","EQ","Equipament","41,5530884930621","2,44069702429911","POINT (2.44069702429911 41.5530884930621)"
"Usos Sòl","VIA","Vials","41,5418815049983","2,42667194088146","POINT (2.42667194088146 41.5418815049983)"
"Usos Sòl","INT","Interior","41,5630692910613","2,43459068923757","POINT (2.43459068923757 41.5630692910613)"
"Usos Sòl","INT","Interior","41,5633742693485","2,43401495498046","POINT (2.43401495498046 41.5633742693485)"
"Usos Sòl","ZV","Zona Verda","41,5631205706173","2,43367126956105","POINT (2.43367126956105 41.5631205706173)"
"Usos Sòl","ZV","Zona Verda","41,5616541796127","2,43122990068715","POINT (2.43122990068715 41.5616541796127)"
"Usos Sòl","INT","Interior","41,5629541486518","2,43188297111","POINT (2.43188297111 41.5629541486518)"
"Usos Sòl","INT","Interior","41,5649088747369","2,4323256354806","POINT (2.4323256354806 41.5649088747369)"
"Usos Sòl","FONS","Fons","41,5687380798528","2,42648905269784","POINT (2.42648905269784 41.5687380798528)"
"Usos Sòl","INT","Interior","41,5782917185333","2,43938252019246","POINT (2.43938252019246 41.5782917185333)"
"Usos Sòl","FONS","Fons","41,5797974083106","2,44473505425186","POINT (2.44473505425186 41.5797974083106)"
"Usos Sòl","FONS","Fons","41,5803306431191","2,45096285433444","POINT (2.45096285433444 41.5803306431191)"
"Usos Sòl","FONS","Fons","41,5794161559053","2,45281652004448","POINT (2.45281652004448 41.5794161559053)"
"Usos Sòl","INT","Interior","41,5544931902993","2,47038308672975","POINT (2.47038308672975 41.5544931902993)"
"Usos Sòl","INT","Interior","41,5549389838641","2,47027998112027","POINT (2.47027998112027 41.5549389838641)"
"Usos Sòl","INT","Interior","41,5537491977942","2,47182551756049","POINT (2.47182551756049 41.5537491977942)"
"Usos Sòl","INT","Interior","41,5538523718281","2,47163063838757","POINT (2.47163063838757 41.5538523718281)"
"Usos Sòl","INT","Interior","41,5538682859096","2,47208174603292","POINT (2.47208174603292 41.5538682859096)"
"Usos Sòl","INT","Interior","41,5540424930967","2,47165050000006","POINT (2.47165050000006 41.5540424930967)"
"Usos Sòl","INT","Interior","41,5541624456228","2,47158118841466","POINT (2.47158118841466 41.5541624456228)"
"Usos Sòl","INT","Interior","41,5585999755731","2,46580332401175","POINT (2.46580332401175 41.5585999755731)"
"Usos Sòl","INT","Interior","41,5584145774599","2,46639194421138","POINT (2.46639194421138 41.5584145774599)"
"Usos Sòl","FONS","Fons","41,5499710834688","2,47395040178664","POINT (2.47395040178664 41.5499710834688)"
"Usos Sòl","VIA","Vials","41,5408389124502","2,44626415712941","POINT (2.44626415712941 41.5408389124502)"
"Usos Sòl","TR","Transit Reduït","41,5406805405007","2,44746855523145","POINT (2.44746855523145 41.5406805405007)"
